,User ID,Product Code,Payment Status,Coupon code,Lead Registered Time,Sales Date,Source,Product Amount with GST,Payment Mode,Currency  Code,Transaction Bank
0,user1,Product1,Initiated,Coupon unknown,2022-08-01 04:55:00,2022-07-31 00:00:00,Direct,3999.0,Payment Mode unknown,INR,Bank unknown
1,user2,Product2,Initiated,Coupon unknown,2022-08-01 04:46:00,2022-07-31 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
2,user4,Product3,Initiated,Coupon unknown,2022-08-01 03:21:00,2022-07-31 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
3,user6,Product3,Initiated,Coupon unknown,2022-08-01 00:56:00,2022-07-31 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
4,user8,Product4,Initiated,Coupon unknown,2022-08-01 00:46:00,2022-07-31 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
5,user11,Product5,Initiated,Coupon unknown,2022-08-01 00:35:00,2022-07-31 00:00:00,Direct,149.0,Payment Mode unknown,USD,Bank unknown
6,user1,Product1,Initiated,Coupon unknown,2022-08-01 04:47:00,2022-07-31 00:00:00,Direct,3999.0,Payment Mode unknown,INR,Bank unknown
7,user13,Product2,Initiated,Coupon unknown,2022-08-01 02:28:00,2022-07-31 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
8,user14,Product4,Initiated,Coupon unknown,2022-08-01 01:38:00,2022-07-31 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
9,user21,Product1,Initiated,Coupon unknown,2022-08-01 00:04:00,2022-07-31 00:00:00,Direct,3999.0,Payment Mode unknown,INR,Bank unknown
10,user22,Product4,Initiated,Coupon unknown,2022-08-01 00:03:00,2022-07-31 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
11,user24,Product6,Initiated,Coupon unknown,2022-07-31 23:40:00,2022-07-31 00:00:00,Direct,899.0,Payment Mode unknown,INR,Bank unknown
12,user25,Product7,Initiated,Coupon unknown,2022-07-31 23:35:00,2022-07-31 00:00:00,Direct,499.0,Payment Mode unknown,INR,Bank unknown
13,user26,Product3,Initiated,Coupon unknown,2022-07-31 23:18:00,2022-07-31 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
14,user27,Product8,Initiated,Coupon unknown,2022-07-31 23:16:00,2022-07-31 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
15,user1,Product1,Initiated,Coupon unknown,2022-08-01 04:50:00,2022-07-31 00:00:00,Direct,3999.0,Payment Mode unknown,INR,Bank unknown
16,user28,Product1,Initiated,Coupon unknown,2022-08-01 04:46:00,2022-07-31 00:00:00,Direct,3999.0,Payment Mode unknown,INR,Bank unknown
17,user28,Product1,Initiated,Coupon unknown,2022-08-01 04:45:00,2022-07-31 00:00:00,Direct,3999.0,Payment Mode unknown,INR,Bank unknown
18,user30,Product9,paid,Coupon unknown,2022-08-01 01:22:00,2022-07-31 00:00:00,Direct,999.0,wallet,INR,Bank unknown
19,user32,Product10,paid,Coupon unknown,2022-08-01 00:07:00,2022-07-31 00:00:00,Direct,999.0,upi,INR,Bank unknown
20,user26,Product3,Initiated,Coupon unknown,2022-07-31 23:20:00,2022-07-31 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
21,user34,Product11,Initiated,Coupon unknown,2022-07-31 23:07:00,2022-07-31 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
22,user35,Product8,Initiated,Coupon unknown,2022-07-31 22:53:00,2022-07-31 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
23,user11,Product5,Initiated,Coupon unknown,2022-08-01 00:19:00,2022-07-31 00:00:00,Direct,149.0,Payment Mode unknown,USD,Bank unknown
24,user37,Product4,Initiated,Coupon unknown,2022-08-01 00:09:00,2022-07-31 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
25,user38,Product10,Initiated,Coupon unknown,2022-07-31 23:46:00,2022-07-31 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
26,user27,Product8,Initiated,Coupon unknown,2022-07-31 23:15:00,2022-07-31 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
27,user40,Product3,Initiated,Coupon unknown,2022-07-31 22:54:00,2022-07-31 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
28,user43,Product3,Initiated,Coupon unknown,2022-07-31 22:11:00,2022-07-31 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
29,user45,Product8,Initiated,Coupon unknown,2022-07-31 21:57:00,2022-07-31 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
30,user46,Product2,Initiated,Coupon unknown,2022-07-31 21:48:00,2022-07-31 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
31,user50,Product2,Initiated,Coupon unknown,2022-07-31 21:10:00,2022-07-31 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
32,user51,Product12,Initiated,Coupon unknown,2022-07-31 20:28:00,2022-07-31 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
33,user53,Product4,Initiated,Coupon unknown,2022-07-31 20:19:00,2022-07-31 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
34,user54,Product13,Initiated,Coupon unknown,2022-07-31 20:12:00,2022-07-31 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
35,user57,Product2,Initiated,Coupon unknown,2022-07-31 19:33:00,2022-07-31 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
36,user59,Product1,Initiated,Coupon unknown,2022-07-31 19:15:00,2022-07-31 00:00:00,Direct,3999.0,Payment Mode unknown,INR,Bank unknown
37,user60,Product3,Initiated,Coupon unknown,2022-07-31 23:02:00,2022-07-31 00:00:00,Email,149.0,Payment Mode unknown,USD,Bank unknown
38,user40,Product3,Initiated,Coupon unknown,2022-07-31 23:02:00,2022-07-31 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
39,user62,Product4,Initiated,Coupon unknown,2022-07-31 23:00:00,2022-07-31 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
40,user60,Product3,Initiated,Coupon unknown,2022-07-31 22:50:00,2022-07-31 00:00:00,Direct,149.0,Payment Mode unknown,USD,Bank unknown
41,user63,Product4,Initiated,Coupon unknown,2022-07-31 22:47:00,2022-07-31 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
42,user64,Product9,Initiated,Coupon unknown,2022-07-31 22:38:00,2022-07-31 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
43,user65,Product3,Initiated,Coupon unknown,2022-07-31 22:37:00,2022-07-31 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
44,user68,Product3,Initiated,Coupon unknown,2022-07-31 22:05:00,2022-07-31 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
45,user45,Product8,Initiated,Coupon unknown,2022-07-31 21:55:00,2022-07-31 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
46,user70,Product4,Initiated,Coupon unknown,2022-07-31 21:42:00,2022-07-31 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
47,user71,Product9,Initiated,Coupon unknown,2022-07-31 21:30:00,2022-07-31 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
48,user72,Product4,Initiated,Coupon unknown,2022-07-31 21:22:00,2022-07-31 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
49,user74,Product2,Initiated,Coupon unknown,2022-07-31 20:54:00,2022-07-31 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
50,user74,Product2,Initiated,Coupon unknown,2022-07-31 20:53:00,2022-07-31 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
